month,state,city,sessions
2024-06,New Jersey,Edison,8
2024-06,New Jersey,Egg Harbor City,1
2024-06,New Jersey,Elizabeth,1
2024-06,New Jersey,Franklin,1
2024-06,New Jersey,Hillsborough,1
2024-06,New Jersey,Hoboken,3
2024-06,New Jersey,Irvington,1
2024-06,New Jersey,Jersey City,4
2024-06,New Jersey,Lakewood,2
2024-06,New Jersey,Laurelton,1
2024-06,New Jersey,Lavallette,1
2024-06,New Jersey,Matawan,2
2024-06,New Jersey,Montclair,1
2024-06,New Jersey,Mount Holly,1
2024-06,New Jersey,Newark,2
2024-06,New Jersey,Nutley,1
2024-06,New Jersey,Princeton,1
2024-06,New Jersey,Princeton Junction,1
2024-06,New Jersey,Ridgefield Park,1
2024-06,New Jersey,Sewell,1
2024-06,New Jersey,Union City,4
2024-06,New Jersey,Westfield,1
2024-06,New Jersey,Westwood,1
2024-06,New York,Unknown,7
2024-06,New York,Ballston Lake,1
2024-06,New York,Brooklyn,52
2024-06,New York,Buffalo,10
2024-06,New York,Churchville,32
2024-06,New York,Crugers,1
2024-06,New York,Deer Park,2
2024-06,New York,East Northport,1
2024-06,New York,Flushing,9
2024-06,New York,Geneva,1
2024-06,New York,Greenhurst,1
2024-06,New York,Levittown,1
2024-06,New York,New York,212
2024-06,New York,Newburgh,3
2024-06,New York,Northport,1
2024-06,New York,Rochester,1
2024-06,New York,Schenectady,1
2024-06,New York,Seaford,1
2024-06,New York,Shirley,2
2024-06,New York,Stanfordville,1
2024-06,New York,Staten Island,1
2024-06,New York,The Bronx,1
2024-06,New York,Yonkers,1
2024-06,North Carolina,Arden,1
2024-06,North Carolina,Charlotte,8
2024-06,North Carolina,Durham,5
2024-06,North Carolina,Fayetteville,2
2024-06,North Carolina,Franklin,1
2024-06,North Carolina,Fuquay-Varina,1
2024-06,North Carolina,Kannapolis,1
2024-06,North Carolina,Lillington,1
2024-06,North Carolina,Mount Holly,1
2024-06,North Carolina,Raleigh,3
2024-06,North Carolina,Rocky Mount,1
2024-06,North Carolina,Sanford,1
2024-06,North Carolina,Washington,1
2024-06,North Carolina,Waxhaw,1
2024-06,North Carolina,Waynesville,1
2024-06,North Carolina,Winston-Salem,1
2024-06,Ohio,Unknown,1
2024-06,Ohio,Akron,1
2024-06,Ohio,Athens,1
2024-06,Ohio,Cincinnati,5
2024-06,Ohio,Cleveland,2
2024-06,Ohio,Columbus,20
2024-06,Ohio,Dublin,1
